ID,Title,Difficulty,AcceptanceRate,Topics,PaidOnly,Status,Link
795,Number of Subarrays with Bounded Maximum,MEDIUM,54.177672556040356,"Array, Two Pointers",False,TO_DO,https://leetcode.com/problems/number-of-subarrays-with-bounded-maximum/
796,Rotate String,EASY,64.32401305388464,"String, String Matching",False,TO_DO,https://leetcode.com/problems/rotate-string/
797,All Paths From Source to Target,MEDIUM,83.24563199788618,"Backtracking, Depth-First Search, Breadth-First Search, Graph",False,TO_DO,https://leetcode.com/problems/all-paths-from-source-to-target/
798,Smallest Rotation with Highest Score,HARD,52.65665195159907,"Array, Prefix Sum",False,TO_DO,https://leetcode.com/problems/smallest-rotation-with-highest-score/
799,Champagne Tower,MEDIUM,58.367203251512144,Dynamic Programming,False,TO_DO,https://leetcode.com/problems/champagne-tower/
800,Similar RGB Color,EASY,67.8303401411343,"Math, String, Enumeration",True,TO_DO,https://leetcode.com/problems/similar-rgb-color/
801,Minimum Swaps To Make Sequences Increasing,HARD,40.94017169818014,"Array, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/minimum-swaps-to-make-sequences-increasing/
802,Find Eventual Safe States,MEDIUM,69.34257662666714,"Depth-First Search, Breadth-First Search, Graph, Topological Sort",False,TO_DO,https://leetcode.com/problems/find-eventual-safe-states/
803,Bricks Falling When Hit,HARD,36.07047187306821,"Array, Union Find, Matrix",False,TO_DO,https://leetcode.com/problems/bricks-falling-when-hit/
804,Unique Morse Code Words,EASY,83.34618135409573,"Array, Hash Table, String",False,TO_DO,https://leetcode.com/problems/unique-morse-code-words/
805,Split Array With Same Average,HARD,26.20463574544834,"Array, Math, Dynamic Programming, Bit Manipulation, Bitmask",False,TO_DO,https://leetcode.com/problems/split-array-with-same-average/
806,Number of Lines To Write String,EASY,71.13519998883913,"Array, String",False,TO_DO,https://leetcode.com/problems/number-of-lines-to-write-string/
807,Max Increase to Keep City Skyline,MEDIUM,86.2749040219816,"Array, Greedy, Matrix",False,TO_DO,https://leetcode.com/problems/max-increase-to-keep-city-skyline/
808,Soup Servings,MEDIUM,59.98144071640499,"Math, Dynamic Programming, Probability and Statistics",False,TO_DO,https://leetcode.com/problems/soup-servings/
809,Expressive Words,MEDIUM,46.47989070960082,"Array, Two Pointers, String",False,TO_DO,https://leetcode.com/problems/expressive-words/
810,Chalkboard XOR Game,HARD,63.588717743548706,"Array, Math, Bit Manipulation, Brainteaser, Game Theory",False,TO_DO,https://leetcode.com/problems/chalkboard-xor-game/
811,Subdomain Visit Count,MEDIUM,76.91351827820083,"Array, Hash Table, String, Counting",False,TO_DO,https://leetcode.com/problems/subdomain-visit-count/
812,Largest Triangle Area,EASY,62.4137578813457,"Array, Math, Geometry",False,TO_DO,https://leetcode.com/problems/largest-triangle-area/
813,Largest Sum of Averages,MEDIUM,54.30168184084171,"Array, Dynamic Programming, Prefix Sum",False,TO_DO,https://leetcode.com/problems/largest-sum-of-averages/
814,Binary Tree Pruning,MEDIUM,72.37939143447588,"Tree, Depth-First Search, Binary Tree",False,TO_DO,https://leetcode.com/problems/binary-tree-pruning/
815,Bus Routes,HARD,46.974037551552385,"Array, Hash Table, Breadth-First Search",False,TO_DO,https://leetcode.com/problems/bus-routes/
816,Ambiguous Coordinates,MEDIUM,56.07720750364666,"String, Backtracking, Enumeration",False,TO_DO,https://leetcode.com/problems/ambiguous-coordinates/
817,Linked List Components,MEDIUM,57.394452842127464,"Array, Hash Table, Linked List",False,TO_DO,https://leetcode.com/problems/linked-list-components/
818,Race Car,HARD,44.240218380345766,Dynamic Programming,False,TO_DO,https://leetcode.com/problems/race-car/
819,Most Common Word,EASY,44.69716381594133,"Array, Hash Table, String, Counting",False,TO_DO,https://leetcode.com/problems/most-common-word/
820,Short Encoding of Words,MEDIUM,60.61381074168798,"Array, Hash Table, String, Trie",False,TO_DO,https://leetcode.com/problems/short-encoding-of-words/
821,Shortest Distance to a Character,EASY,72.34183796935191,"Array, Two Pointers, String",False,TO_DO,https://leetcode.com/problems/shortest-distance-to-a-character/
822,Card Flipping Game,MEDIUM,48.69753227583627,"Array, Hash Table",False,TO_DO,https://leetcode.com/problems/card-flipping-game/
823,Binary Trees With Factors,MEDIUM,52.95544300180622,"Array, Hash Table, Dynamic Programming, Sorting",False,TO_DO,https://leetcode.com/problems/binary-trees-with-factors/
824,Goat Latin,EASY,69.53379422429343,String,False,TO_DO,https://leetcode.com/problems/goat-latin/
825,Friends Of Appropriate Ages,MEDIUM,49.19914643095116,"Array, Two Pointers, Binary Search, Sorting",False,TO_DO,https://leetcode.com/problems/friends-of-appropriate-ages/
826,Most Profit Assigning Work,MEDIUM,55.98929309900754,"Array, Two Pointers, Binary Search, Greedy, Sorting",False,TO_DO,https://leetcode.com/problems/most-profit-assigning-work/
827,Making A Large Island,HARD,55.477201651005004,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",False,TO_DO,https://leetcode.com/problems/making-a-large-island/
828,Count Unique Characters of All Substrings of a Given String,HARD,53.0670017858324,"Hash Table, String, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string/
829,Consecutive Numbers Sum,HARD,42.157486324895046,"Math, Enumeration",False,TO_DO,https://leetcode.com/problems/consecutive-numbers-sum/
830,Positions of Large Groups,EASY,53.26413366794598,String,False,TO_DO,https://leetcode.com/problems/positions-of-large-groups/
831,Masking Personal Information,MEDIUM,50.75770438916716,String,False,TO_DO,https://leetcode.com/problems/masking-personal-information/
832,Flipping an Image,EASY,83.12884578318327,"Array, Two Pointers, Bit Manipulation, Matrix, Simulation",False,TO_DO,https://leetcode.com/problems/flipping-an-image/
833,Find And Replace in String,MEDIUM,51.18938729680118,"Array, Hash Table, String, Sorting",False,TO_DO,https://leetcode.com/problems/find-and-replace-in-string/
834,Sum of Distances in Tree,HARD,65.38769226124889,"Dynamic Programming, Tree, Depth-First Search, Graph",False,TO_DO,https://leetcode.com/problems/sum-of-distances-in-tree/
835,Image Overlap,MEDIUM,63.82169768041075,"Array, Matrix",False,TO_DO,https://leetcode.com/problems/image-overlap/
836,Rectangle Overlap,EASY,45.899533372376396,"Math, Geometry",False,TO_DO,https://leetcode.com/problems/rectangle-overlap/
837,New 21 Game,MEDIUM,52.11564365035473,"Math, Dynamic Programming, Sliding Window, Probability and Statistics",False,TO_DO,https://leetcode.com/problems/new-21-game/
838,Push Dominoes,MEDIUM,63.03605517931003,"Two Pointers, String, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/push-dominoes/
839,Similar String Groups,HARD,55.583511379853654,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find",False,TO_DO,https://leetcode.com/problems/similar-string-groups/
840,Magic Squares In Grid,MEDIUM,51.51854303029463,"Array, Hash Table, Math, Matrix",False,TO_DO,https://leetcode.com/problems/magic-squares-in-grid/
841,Keys and Rooms,MEDIUM,74.9618781722149,"Depth-First Search, Breadth-First Search, Graph",False,TO_DO,https://leetcode.com/problems/keys-and-rooms/
842,Split Array into Fibonacci Sequence,MEDIUM,39.8168354022824,"String, Backtracking",False,TO_DO,https://leetcode.com/problems/split-array-into-fibonacci-sequence/
843,Guess the Word,HARD,37.4111463567112,"Array, Math, String, Interactive, Game Theory",False,TO_DO,https://leetcode.com/problems/guess-the-word/
844,Backspace String Compare,EASY,49.55750535643325,"Two Pointers, String, Stack, Simulation",False,TO_DO,https://leetcode.com/problems/backspace-string-compare/
845,Longest Mountain in Array,MEDIUM,41.255327091929,"Array, Two Pointers, Dynamic Programming, Enumeration",False,TO_DO,https://leetcode.com/problems/longest-mountain-in-array/
846,Hand of Straights,MEDIUM,57.368996106520065,"Array, Hash Table, Greedy, Sorting",False,TO_DO,https://leetcode.com/problems/hand-of-straights/
847,Shortest Path Visiting All Nodes,HARD,65.52940238520665,"Dynamic Programming, Bit Manipulation, Breadth-First Search, Graph, Bitmask",False,TO_DO,https://leetcode.com/problems/shortest-path-visiting-all-nodes/
848,Shifting Letters,MEDIUM,45.7247626481747,"Array, String, Prefix Sum",False,TO_DO,https://leetcode.com/problems/shifting-letters/
849,Maximize Distance to Closest Person,MEDIUM,49.182728356953746,Array,False,TO_DO,https://leetcode.com/problems/maximize-distance-to-closest-person/
850,Rectangle Area II,HARD,54.70624082435389,"Array, Segment Tree, Line Sweep, Ordered Set",False,TO_DO,https://leetcode.com/problems/rectangle-area-ii/
851,Loud and Rich,MEDIUM,62.190515768573675,"Array, Depth-First Search, Graph, Topological Sort",False,TO_DO,https://leetcode.com/problems/loud-and-rich/
852,Peak Index in a Mountain Array,MEDIUM,67.32272935460736,"Array, Binary Search",False,TO_DO,https://leetcode.com/problems/peak-index-in-a-mountain-array/
853,Car Fleet,MEDIUM,53.830439223697645,"Array, Stack, Sorting, Monotonic Stack",False,TO_DO,https://leetcode.com/problems/car-fleet/
854,K-Similar Strings,HARD,40.18440773727783,"Hash Table, String, Breadth-First Search",False,TO_DO,https://leetcode.com/problems/k-similar-strings/
855,Exam Room,MEDIUM,42.98938130542768,"Design, Heap (Priority Queue), Ordered Set",False,TO_DO,https://leetcode.com/problems/exam-room/
856,Score of Parentheses,MEDIUM,63.63088861046043,"String, Stack",False,TO_DO,https://leetcode.com/problems/score-of-parentheses/
857,Minimum Cost to Hire K Workers,HARD,63.514373541535804,"Array, Greedy, Sorting, Heap (Priority Queue)",False,TO_DO,https://leetcode.com/problems/minimum-cost-to-hire-k-workers/
858,Mirror Reflection,MEDIUM,61.91349837901562,"Math, Geometry, Number Theory",False,TO_DO,https://leetcode.com/problems/mirror-reflection/
859,Buddy Strings,EASY,33.708219085502435,"Hash Table, String",False,TO_DO,https://leetcode.com/problems/buddy-strings/
860,Lemonade Change,EASY,58.596000798699265,"Array, Greedy",False,TO_DO,https://leetcode.com/problems/lemonade-change/
861,Score After Flipping Matrix,MEDIUM,80.24507741922561,"Array, Greedy, Bit Manipulation, Matrix",False,TO_DO,https://leetcode.com/problems/score-after-flipping-matrix/
862,Shortest Subarray with Sum at Least K,HARD,32.3114908266789,"Array, Binary Search, Queue, Sliding Window, Heap (Priority Queue), Prefix Sum, Monotonic Queue",False,TO_DO,https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k/
863,All Nodes Distance K in Binary Tree,MEDIUM,66.8324057136185,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",False,TO_DO,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree/
864,Shortest Path to Get All Keys,HARD,54.001854046056465,"Array, Bit Manipulation, Breadth-First Search, Matrix",False,TO_DO,https://leetcode.com/problems/shortest-path-to-get-all-keys/
865,Smallest Subtree with all the Deepest Nodes,MEDIUM,72.61498131567183,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree",False,TO_DO,https://leetcode.com/problems/smallest-subtree-with-all-the-deepest-nodes/
866,Prime Palindrome,MEDIUM,27.363013485121478,"Math, Number Theory",False,TO_DO,https://leetcode.com/problems/prime-palindrome/
867,Transpose Matrix,EASY,74.76329427279143,"Array, Matrix, Simulation",False,TO_DO,https://leetcode.com/problems/transpose-matrix/
868,Binary Gap,EASY,64.92717257062203,Bit Manipulation,False,TO_DO,https://leetcode.com/problems/binary-gap/
869,Reordered Power of 2,MEDIUM,66.17026812782515,"Hash Table, Math, Sorting, Counting, Enumeration",False,TO_DO,https://leetcode.com/problems/reordered-power-of-2/
870,Advantage Shuffle,MEDIUM,53.655175323259954,"Array, Two Pointers, Greedy, Sorting",False,TO_DO,https://leetcode.com/problems/advantage-shuffle/
871,Minimum Number of Refueling Stops,HARD,40.734958820581575,"Array, Dynamic Programming, Greedy, Heap (Priority Queue)",False,TO_DO,https://leetcode.com/problems/minimum-number-of-refueling-stops/
872,Leaf-Similar Trees,EASY,70.13848507349192,"Tree, Depth-First Search, Binary Tree",False,TO_DO,https://leetcode.com/problems/leaf-similar-trees/
873,Length of Longest Fibonacci Subsequence,MEDIUM,57.59694008068965,"Array, Hash Table, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/length-of-longest-fibonacci-subsequence/
874,Walking Robot Simulation,MEDIUM,58.332860265107435,"Array, Hash Table, Simulation",False,TO_DO,https://leetcode.com/problems/walking-robot-simulation/
875,Koko Eating Bananas,MEDIUM,49.04765291888452,"Array, Binary Search",False,TO_DO,https://leetcode.com/problems/koko-eating-bananas/
876,Middle of the Linked List,EASY,80.94839425953124,"Linked List, Two Pointers",False,TO_DO,https://leetcode.com/problems/middle-of-the-linked-list/
877,Stone Game,MEDIUM,71.80477433920677,"Array, Math, Dynamic Programming, Game Theory",False,TO_DO,https://leetcode.com/problems/stone-game/
878,Nth Magical Number,HARD,35.935585096833115,"Math, Binary Search",False,TO_DO,https://leetcode.com/problems/nth-magical-number/
879,Profitable Schemes,HARD,48.045017820656085,"Array, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/profitable-schemes/
880,Decoded String at Index,MEDIUM,36.7233562503991,"String, Stack",False,TO_DO,https://leetcode.com/problems/decoded-string-at-index/
881,Boats to Save People,MEDIUM,60.67002906313833,"Array, Two Pointers, Greedy, Sorting",False,TO_DO,https://leetcode.com/problems/boats-to-save-people/
882,Reachable Nodes In Subdivided Graph,HARD,51.00689363884573,"Graph, Heap (Priority Queue), Shortest Path",False,TO_DO,https://leetcode.com/problems/reachable-nodes-in-subdivided-graph/
883,Projection Area of 3D Shapes,EASY,74.47052974645086,"Array, Math, Geometry, Matrix",False,TO_DO,https://leetcode.com/problems/projection-area-of-3d-shapes/
884,Uncommon Words from Two Sentences,EASY,75.42136118519215,"Hash Table, String, Counting",False,TO_DO,https://leetcode.com/problems/uncommon-words-from-two-sentences/
885,Spiral Matrix III,MEDIUM,84.51571962504747,"Array, Matrix, Simulation",False,TO_DO,https://leetcode.com/problems/spiral-matrix-iii/
886,Possible Bipartition,MEDIUM,51.786105678446184,"Depth-First Search, Breadth-First Search, Union Find, Graph",False,TO_DO,https://leetcode.com/problems/possible-bipartition/
887,Super Egg Drop,HARD,29.112307597326424,"Math, Binary Search, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/super-egg-drop/
888,Fair Candy Swap,EASY,63.65593900948612,"Array, Hash Table, Binary Search, Sorting",False,TO_DO,https://leetcode.com/problems/fair-candy-swap/
889,Construct Binary Tree from Preorder and Postorder Traversal,MEDIUM,78.0328746546897,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree",False,TO_DO,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-postorder-traversal/
890,Find and Replace Pattern,MEDIUM,76.87661326171167,"Array, Hash Table, String",False,TO_DO,https://leetcode.com/problems/find-and-replace-pattern/
891,Sum of Subsequence Widths,HARD,39.32125258305516,"Array, Math, Sorting",False,TO_DO,https://leetcode.com/problems/sum-of-subsequence-widths/
892,Surface Area of 3D Shapes,EASY,68.51740402244958,"Array, Math, Geometry, Matrix",False,TO_DO,https://leetcode.com/problems/surface-area-of-3d-shapes/
893,Groups of Special-Equivalent Strings,MEDIUM,73.01761252446184,"Array, Hash Table, String, Sorting",False,TO_DO,https://leetcode.com/problems/groups-of-special-equivalent-strings/
894,All Possible Full Binary Trees,MEDIUM,82.71651871473925,"Dynamic Programming, Tree, Recursion, Memoization, Binary Tree",False,TO_DO,https://leetcode.com/problems/all-possible-full-binary-trees/
895,Maximum Frequency Stack,HARD,66.36686656912713,"Hash Table, Stack, Design, Ordered Set",False,TO_DO,https://leetcode.com/problems/maximum-frequency-stack/
896,Monotonic Array,EASY,61.84368939315863,Array,False,TO_DO,https://leetcode.com/problems/monotonic-array/
897,Increasing Order Search Tree,EASY,78.74667774698999,"Stack, Tree, Depth-First Search, Binary Search Tree, Binary Tree",False,TO_DO,https://leetcode.com/problems/increasing-order-search-tree/
898,Bitwise ORs of Subarrays,MEDIUM,56.44714284445313,"Array, Dynamic Programming, Bit Manipulation",False,TO_DO,https://leetcode.com/problems/bitwise-ors-of-subarrays/
899,Orderly Queue,HARD,66.3765649485231,"Math, String, Sorting",False,TO_DO,https://leetcode.com/problems/orderly-queue/
900,RLE Iterator,MEDIUM,58.937423330487746,"Array, Design, Counting, Iterator",False,TO_DO,https://leetcode.com/problems/rle-iterator/
901,Online Stock Span,MEDIUM,67.90391132631844,"Stack, Design, Monotonic Stack, Data Stream",False,TO_DO,https://leetcode.com/problems/online-stock-span/
902,Numbers At Most N Given Digit Set,HARD,43.66299731299298,"Array, Math, String, Binary Search, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/numbers-at-most-n-given-digit-set/
903,Valid Permutations for DI Sequence,HARD,56.316477509061734,"String, Dynamic Programming, Prefix Sum",False,TO_DO,https://leetcode.com/problems/valid-permutations-for-di-sequence/
904,Fruit Into Baskets,MEDIUM,49.42009323538326,"Array, Hash Table, Sliding Window",False,TO_DO,https://leetcode.com/problems/fruit-into-baskets/
905,Sort Array By Parity,EASY,76.34140362632064,"Array, Two Pointers, Sorting",False,TO_DO,https://leetcode.com/problems/sort-array-by-parity/
906,Super Palindromes,HARD,39.45140584562748,"Math, String, Enumeration",False,TO_DO,https://leetcode.com/problems/super-palindromes/
907,Sum of Subarray Minimums,MEDIUM,37.844327092206534,"Array, Dynamic Programming, Stack, Monotonic Stack",False,TO_DO,https://leetcode.com/problems/sum-of-subarray-minimums/
908,Smallest Range I,EASY,72.20568599993487,"Array, Math",False,TO_DO,https://leetcode.com/problems/smallest-range-i/
909,Snakes and Ladders,MEDIUM,47.95192975816086,"Array, Breadth-First Search, Matrix",False,TO_DO,https://leetcode.com/problems/snakes-and-ladders/
910,Smallest Range II,MEDIUM,37.29930283354777,"Array, Math, Greedy, Sorting",False,TO_DO,https://leetcode.com/problems/smallest-range-ii/
911,Online Election,MEDIUM,52.09502581118267,"Array, Hash Table, Binary Search, Design",False,TO_DO,https://leetcode.com/problems/online-election/
912,Sort an Array,MEDIUM,56.320248965501605,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Merge Sort, Bucket Sort, Radix Sort, Counting Sort",False,TO_DO,https://leetcode.com/problems/sort-an-array/
913,Cat and Mouse,HARD,33.91612875646561,"Math, Dynamic Programming, Graph, Topological Sort, Memoization, Game Theory",False,TO_DO,https://leetcode.com/problems/cat-and-mouse/
914,X of a Kind in a Deck of Cards,EASY,29.90132379573366,"Array, Hash Table, Math, Counting, Number Theory",False,TO_DO,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/
915,Partition Array into Disjoint Intervals,MEDIUM,49.132358123852654,Array,False,TO_DO,https://leetcode.com/problems/partition-array-into-disjoint-intervals/
916,Word Subsets,MEDIUM,55.79702250107347,"Array, Hash Table, String",False,TO_DO,https://leetcode.com/problems/word-subsets/
917,Reverse Only Letters,EASY,67.21915457879916,"Two Pointers, String",False,TO_DO,https://leetcode.com/problems/reverse-only-letters/
918,Maximum Sum Circular Subarray,MEDIUM,48.2101105760465,"Array, Divide and Conquer, Dynamic Programming, Queue, Monotonic Queue",False,TO_DO,https://leetcode.com/problems/maximum-sum-circular-subarray/
919,Complete Binary Tree Inserter,MEDIUM,64.70896588584762,"Tree, Breadth-First Search, Design, Binary Tree",False,TO_DO,https://leetcode.com/problems/complete-binary-tree-inserter/
920,Number of Music Playlists,HARD,59.979785377563346,"Math, Dynamic Programming, Combinatorics",False,TO_DO,https://leetcode.com/problems/number-of-music-playlists/
921,Minimum Add to Make Parentheses Valid,MEDIUM,74.54871485565732,"String, Stack, Greedy",False,TO_DO,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/
922,Sort Array By Parity II,EASY,71.06496618392833,"Array, Two Pointers, Sorting",False,TO_DO,https://leetcode.com/problems/sort-array-by-parity-ii/
923,3Sum With Multiplicity,MEDIUM,45.91837959609944,"Array, Hash Table, Two Pointers, Sorting, Counting",False,TO_DO,https://leetcode.com/problems/3sum-with-multiplicity/
924,Minimize Malware Spread,HARD,42.59424443137031,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph",False,TO_DO,https://leetcode.com/problems/minimize-malware-spread/
925,Long Pressed Name,EASY,32.61201152780481,"Two Pointers, String",False,TO_DO,https://leetcode.com/problems/long-pressed-name/
926,Flip String to Monotone Increasing,MEDIUM,61.64459880750584,"String, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/flip-string-to-monotone-increasing/
927,Three Equal Parts,HARD,40.82052405466915,"Array, Math",False,TO_DO,https://leetcode.com/problems/three-equal-parts/
928,Minimize Malware Spread II,HARD,44.94692075447197,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Graph",False,TO_DO,https://leetcode.com/problems/minimize-malware-spread-ii/
929,Unique Email Addresses,EASY,67.65354578113474,"Array, Hash Table, String",False,TO_DO,https://leetcode.com/problems/unique-email-addresses/
930,Binary Subarrays With Sum,MEDIUM,66.92937224424855,"Array, Hash Table, Sliding Window, Prefix Sum",False,TO_DO,https://leetcode.com/problems/binary-subarrays-with-sum/
931,Minimum Falling Path Sum,MEDIUM,60.9985024528789,"Array, Dynamic Programming, Matrix",False,TO_DO,https://leetcode.com/problems/minimum-falling-path-sum/
932,Beautiful Array,MEDIUM,67.25100837728824,"Array, Math, Divide and Conquer",False,TO_DO,https://leetcode.com/problems/beautiful-array/
933,Number of Recent Calls,EASY,77.6701924288709,"Design, Queue, Data Stream",False,TO_DO,https://leetcode.com/problems/number-of-recent-calls/
934,Shortest Bridge,MEDIUM,58.87014876690717,"Array, Depth-First Search, Breadth-First Search, Matrix",False,TO_DO,https://leetcode.com/problems/shortest-bridge/
935,Knight Dialer,MEDIUM,61.37535580215337,Dynamic Programming,False,TO_DO,https://leetcode.com/problems/knight-dialer/
936,Stamping The Sequence,HARD,61.975758662244665,"String, Stack, Greedy, Queue",False,TO_DO,https://leetcode.com/problems/stamping-the-sequence/
937,Reorder Data in Log Files,MEDIUM,56.80908881815265,"Array, String, Sorting",False,TO_DO,https://leetcode.com/problems/reorder-data-in-log-files/
938,Range Sum of BST,EASY,87.49595795866828,"Tree, Depth-First Search, Binary Search Tree, Binary Tree",False,TO_DO,https://leetcode.com/problems/range-sum-of-bst/
939,Minimum Area Rectangle,MEDIUM,55.08997162881683,"Array, Hash Table, Math, Geometry, Sorting",False,TO_DO,https://leetcode.com/problems/minimum-area-rectangle/
940,Distinct Subsequences II,HARD,43.66306027820711,"String, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/distinct-subsequences-ii/
941,Valid Mountain Array,EASY,34.45796069455629,Array,False,TO_DO,https://leetcode.com/problems/valid-mountain-array/
942,DI String Match,EASY,80.33692790178945,"Array, Two Pointers, String, Greedy",False,TO_DO,https://leetcode.com/problems/di-string-match/
943,Find the Shortest Superstring,HARD,44.527088825523215,"Array, String, Dynamic Programming, Bit Manipulation, Bitmask",False,TO_DO,https://leetcode.com/problems/find-the-shortest-superstring/
944,Delete Columns to Make Sorted,EASY,74.83795058295006,"Array, String",False,TO_DO,https://leetcode.com/problems/delete-columns-to-make-sorted/
945,Minimum Increment to Make Array Unique,MEDIUM,60.40931217717662,"Array, Greedy, Sorting, Counting",False,TO_DO,https://leetcode.com/problems/minimum-increment-to-make-array-unique/
946,Validate Stack Sequences,MEDIUM,69.81475067519004,"Array, Stack, Simulation",False,TO_DO,https://leetcode.com/problems/validate-stack-sequences/
947,Most Stones Removed with Same Row or Column,MEDIUM,62.38324806956427,"Hash Table, Depth-First Search, Union Find, Graph",False,TO_DO,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/
948,Bag of Tokens,MEDIUM,59.280324796708875,"Array, Two Pointers, Greedy, Sorting",False,TO_DO,https://leetcode.com/problems/bag-of-tokens/
949,Largest Time for Given Digits,MEDIUM,35.62074839157653,"Array, String, Backtracking, Enumeration",False,TO_DO,https://leetcode.com/problems/largest-time-for-given-digits/
950,Reveal Cards In Increasing Order,MEDIUM,83.37378276027891,"Array, Queue, Sorting, Simulation",False,TO_DO,https://leetcode.com/problems/reveal-cards-in-increasing-order/
951,Flip Equivalent Binary Trees,MEDIUM,69.64490662776603,"Tree, Depth-First Search, Binary Tree",False,TO_DO,https://leetcode.com/problems/flip-equivalent-binary-trees/
952,Largest Component Size by Common Factor,HARD,41.3872279359005,"Array, Hash Table, Math, Union Find, Number Theory",False,TO_DO,https://leetcode.com/problems/largest-component-size-by-common-factor/
953,Verifying an Alien Dictionary,EASY,55.65325346976141,"Array, Hash Table, String",False,TO_DO,https://leetcode.com/problems/verifying-an-alien-dictionary/
954,Array of Doubled Pairs,MEDIUM,39.52054985667527,"Array, Hash Table, Greedy, Sorting",False,TO_DO,https://leetcode.com/problems/array-of-doubled-pairs/
955,Delete Columns to Make Sorted II,MEDIUM,35.78712802339797,"Array, String, Greedy",False,TO_DO,https://leetcode.com/problems/delete-columns-to-make-sorted-ii/
956,Tallest Billboard,HARD,51.850893291296096,"Array, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/tallest-billboard/
957,Prison Cells After N Days,MEDIUM,38.991717223090056,"Array, Hash Table, Math, Bit Manipulation",False,TO_DO,https://leetcode.com/problems/prison-cells-after-n-days/
958,Check Completeness of a Binary Tree,MEDIUM,58.62747940846859,"Tree, Breadth-First Search, Binary Tree",False,TO_DO,https://leetcode.com/problems/check-completeness-of-a-binary-tree/
959,Regions Cut By Slashes,MEDIUM,77.62450963670476,"Array, Hash Table, Depth-First Search, Breadth-First Search, Union Find, Matrix",False,TO_DO,https://leetcode.com/problems/regions-cut-by-slashes/
960,Delete Columns to Make Sorted III,HARD,59.08429494771751,"Array, String, Dynamic Programming",False,TO_DO,https://leetcode.com/problems/delete-columns-to-make-sorted-iii/
961,N-Repeated Element in Size 2N Array,EASY,77.63916017738181,"Array, Hash Table",False,TO_DO,https://leetcode.com/problems/n-repeated-element-in-size-2n-array/
962,Maximum Width Ramp,MEDIUM,55.754809167244254,"Array, Two Pointers, Stack, Monotonic Stack",False,TO_DO,https://leetcode.com/problems/maximum-width-ramp/
963,Minimum Area Rectangle II,MEDIUM,55.706441324433634,"Array, Hash Table, Math, Geometry",False,TO_DO,https://leetcode.com/problems/minimum-area-rectangle-ii/
964,Least Operators to Express Number,HARD,48.44137588887051,"Math, Dynamic Programming, Memoization",False,TO_DO,https://leetcode.com/problems/least-operators-to-express-number/
965,Univalued Binary Tree,EASY,72.35822509907976,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",False,TO_DO,https://leetcode.com/problems/univalued-binary-tree/
966,Vowel Spellchecker,MEDIUM,51.65970518685496,"Array, Hash Table, String",False,TO_DO,https://leetcode.com/problems/vowel-spellchecker/
967,Numbers With Same Consecutive Differences,MEDIUM,58.8537572825121,"Backtracking, Breadth-First Search",False,TO_DO,https://leetcode.com/problems/numbers-with-same-consecutive-differences/
968,Binary Tree Cameras,HARD,47.37403396027811,"Dynamic Programming, Tree, Depth-First Search, Binary Tree",False,TO_DO,https://leetcode.com/problems/binary-tree-cameras/
969,Pancake Sorting,MEDIUM,71.36618096637154,"Array, Two Pointers, Greedy, Sorting",False,TO_DO,https://leetcode.com/problems/pancake-sorting/
970,Powerful Integers,MEDIUM,44.20851930493565,"Hash Table, Math, Enumeration",False,TO_DO,https://leetcode.com/problems/powerful-integers/
971,Flip Binary Tree To Match Preorder Traversal,MEDIUM,51.258744325782324,"Tree, Depth-First Search, Binary Tree",False,TO_DO,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal/
972,Equal Rational Numbers,HARD,44.96116311491735,"Math, String",False,TO_DO,https://leetcode.com/problems/equal-rational-numbers/
973,K Closest Points to Origin,MEDIUM,68.1972194385291,"Array, Math, Divide and Conquer, Geometry, Sorting, Heap (Priority Queue), Quickselect",False,TO_DO,https://leetcode.com/problems/k-closest-points-to-origin/
